index,"artist","album","genre","type","cover_name",cover_idx
104,"Mark O'Connor","Heroes","Jazz","CD","MarkOConnor Heroes.jpg",1281
105,"Mark O'Connor","The New Nashville Cats","Jazz","CD","MarkOConnor The New Nashville Cats.jpg",1285
106,"Mark O'Connor","Retrospective","Jazz","CD","MarkOConnor Retrospective.jpg",1283
107,"Mark O'Connor","Liberty","Jazz","CD","MarkOConnor Liberty.jpg",1284
108,"Ben E. King","The Very Best of Ben E. King","R&B","Download","The Very Best of Ben E. King.jpg",1957
109,"Creedence Clearwater Revival","Creedence Gold","Rock","Download","creedence gold.jpg",1446
110,"Creedence Clearwater Revival","Chronicle_ 20 Greatest Hits (24-Karat Gold Disc)","Rock","Vinyl","Creedence Chronicle_ 20 Greatest Hits (24-Karat Gold Disc).jpg",1448
111,"Creedence Clearwater Revival","Green River","Rock","CD","Creedence Green River.jpg",1447
112,"Creedence Clearwater Revival","Creedence Clearwarer Revival Chronicle","Rock","download","Creedence_Clearwater_Revival_Chronicle.jpg",1450
113,"Leonard Cohen","Can't Forget_ A Souvenir of the Grand Tour","Folk","CD","LeonardCohen_Can't Forget_ A Souvenir of the Grand Tour.jpg",1089
114,"Leonard Cohen","Songs From The Road","Folk","CD","LeonardCohen_Songs From The Road.jpg",1090
115,"Leonard Cohen","You Want It Darker","Folk","CD","LeonardCohen_You Want It Darker.jpg",1091
116,"Leonard Cohen","Dear Heather","Folk","CD","LeonardCohen_Dear Heather.jpg",1092
117,"Leonard Cohen","Old Ideas","Folk","CD","LeonardCohen_Old Ideas.jpg",1093
118,"Leonard Cohen","Popular Problems","Folk","CD","LeonardCohen_Popular Problems.jpg",1094
119,"Leonard Cohen","Songs From A Room","Folk","CD","LenardCohen_Songs_from_a_room.jpg",1095
120,"Leonard Cohen","Ten New Songs","Folk","CD","LeonardCohen_Ten New Songs.jpg",1096
121,"Stan Getz","Captain Marvel","rock","download","StanGetz_CaptainMarvel.jpg",1886
122,"Rodriguez","Cold Fact (Bonus Track Version)","Rock","Download","Rodriguez Cold Fact (Bonus Track Version).jpg",1712
123,"Rodriguez","Coming from Reality (Bonus Track Version)","Rock","Download","Rodriguez Coming from Reality (Bonus Track Version).jpg",1713
124,"Paul Simon","The Afterlife - Single","Pop","Download","PaulSimon The Afterlife - Single.jpg",1766
125,"Paul Simon","Graceland_ The Remixes","Pop","download","PaulSimon_Graceland.jpg",1765
126,"Emmylou Harris & Rodney Crowell","The Traveling Kind","rock","download","The Traveling Kind.jpg",1152
127,"Emmylou Harris & Rodney Crowell","Old Yellow Moon","rock","CD","EmmylouHarris_Old Yellow Moon.jpg",1154
128,"J.J. Cale & Eric Clapton","The Road To Escondido","Rock","CD","JJCale_The_Road_to_Escondido.jpg",1017
129,"John Mellencamp","Nothing Like I Planned Greatst Hits Vol. 3","Rock","CD","JohnMellencamp_NothingLikeIPlanned.jpg",1900
130,"Small Faces","The Immediate Years (Disc Two)","Rock","Download","The Immediate Years (Disc Two).jpg",1958
131,"Deep Purple","Live In Paris 1975 [Disc 2]","Rock","download","DeepPurple_Paris1975.jpg",1141
132,"Deep Purple","Machine Head","Rock","Download","Machine Head.jpg",1142
133,"Deep Purple","Live In Paris 1975 [Disc 1]","Rock","download","DeepPurple_Paris1975.jpg",1140
134,"Deep Purple","Live In Copenhagen 1972 [Disc 2]","Rock","CD","DeepPurple_Copen1972.jpg",1138
135,"Deep Purple","Deepest Purple (30th Anniversary Edition)","Rock","Download","Deepest Purple (30th Anniversary Edition).jpg",1143
136,"Deep Purple","Copenhagen 1972 [Disc 1]","Rock","CD","DeepPurple_Copen1972.jpg",1137
137,"Deep Purple","InFinite","Rock","CD","DeepPurple_Infinite.jpg",1139
138,"The Moody Blues","Days Of Future Passed","rock","Vinyl","Moody_Blues_days of future passed.jpg",1496
139,"The Moody Blues","To Our Children's Children's Children","rock","Vinyl","MoodyBlues_for the children.jpg",1498
140,"The Moody Blues","On The Threshold Of A Dream","rock","CD","MoodyBlues_On The Threshold Of A Dream.jpg",1494
141,"The Moody Blues","In Search Of the Lost Chord","rock","Vinyl","Moodyblues_In Search Lost Chord.jpg",1495
142,"Loreena McKennitt","A Midwinter Night's Dream","Pop","CD","A Midwinter Night's Dream.jpg",2018
143,"John Mayall & The Bluesbreakers","In the Palace of the King (A Tribute to Freddie King)","Blues","Download","JohnMayall_PalaceOfTheKing.jpg",1206
144,"John Mayall & The Bluesbreakers","A Hard Road","Blues","CD","JohnMayall_A Hard Road.jpg",1208
145,"John Mayall & The Bluesbreakers","Padlock On The Blues","Blues","Download","JohnMayall Padlock On The Blues.jpg",1209
146,"Devo","Freedom Of Choice [Deluxe Remastered Edition]","Alternative","CD","Devo_FreedomOfChoice.jpg",1760
147,"Devo","Q_ Are We Not Men_ A_ We Are Devo! [Deluxe Remastered Edition]","Alternative","CD","Q_ Are We Not Men_ A_ We Are Devo! [Deluxe Remastered Edition].jpg",1759
148,"Asleep At the Wheel","Asleep At the Wheel (Live)","TexMex","Download","Asleep At the Wheel (Live).jpg",1636
149,"Asleep At the Wheel","Asleep At the Wheel Remembers the Alamo","TexMex","Download","Asleep At the Wheel Remembers the Alamo.jpg",1637
150,"Asleep At the Wheel","The Very Best of Asleep At the Wheel (Re-Recorded Versions)","TexMex","Download","The Very Best of Asleep At the Wheel (Re-Recorded Versions).jpg",1638
151,"Thelonious Monk Quartet With John Coltrane","At Carnegie Hall","Jazz","CD","At Carnegie Hall.jpg",975
152,"The Yardbirds","Over Under Sideways Down _ Roger the Engineer (Remastered)","Rock","Download","Yardbirds Over Under Sideways Down _ Roger the Engineer (Remastered).jpg",1570
153,"The Yardbirds","The Ultimate Collection","Rock","Download","Yard birds The Ultimate Collection.jpg",955
154,"The Yardbirds","The Yardbirds Story","Rock","Download","The Yardbirds Story.jpg",1569
155,"ZZ Top","Eliminator","Rock","Tape","ZZTop Eliminator.png",1418
156,"ZZ Top","Greatest Hits","Rock","Download","TomPetty Greatest Hits.jpg",1303
157,"ZZ Top","Live Greatest Hits From Around The World","Rock","CD","ZZTop Live Greatest Hits From Around The World.jpg",1420
158,"ZZ Top","Tres Hombres","Rock","Download","ZZTop Tres Hombres.jpg",1421
159,"Kenny Rogers","You Can't Make Old Friends","Country","CD","KennyRogers_You Can't Make Old Friends.jpg",1959
160,"Gregg Allman","Live Back To Macon GA Disc 2","Blues","download","Gregg_Allman_Back_to_Macon_GA.jpg",1490
161,"Gregg Allman","Low Country Blues","Blues","CD","Gregg Allman Low Country Blues.jpg",1493
162,"Gregg Allman","Just Another Rider","Blues","Download","Gregg Allman Just Another Rider.jpg",1492
163,"Gregg Allman","Live Back To Macon GA Disc 1","Blues","download","Gregg_Allman_Back_to_Macon_GA.jpg",1491
164,"Harry Belafonte","This Is Harry Belafonte","Pop","Vinyl","HarryBeleafont_ThisIs.jpg",1931
165,"Eric Church","The Outsiders","Country","CD","EricChurch_The Outsiders.jpg",1960
166,"Tom Petty & The Heartbreakers","Southern Accents","Rock","CD","TomPetty_southernaccents.jpg",1301
167,"Tom Petty & The Heartbreakers","Tom Petty & The Heartbreakers","Rock","download","Tom Petty & The Heartbreakers.jpg",1304
168,"Tom Petty & The Heartbreakers","Greatest Hits","Rock","Download","TomPetty Greatest Hits.jpg",1303
169,"Tom Petty & The Heartbreakers","Hard Promises","Rock","CD","TomPetty Hard Promises.jpg",1302
170,"Monsters Of Folk","Monsters Of Folk","Folk","CD","MonstersOfFolk.jpg",1961
171,"Triumph","Greatest Hits Remixed","Rock","CD","Triumph Greatest Hits Remixed.jpg",1626
172,"Santana","Santana IV","TexMex","CD","Santana_IV.jpg",1263
173,"Santana","Supernatural","TexMex","CD","Santana-Supernatural.jpg",1262
174,"Santana","Abraxas","TexMex","Vinyl","Santana Abraxas.jpg",1261
175,"Santana","Corazon (Deluxe Version)","TexMex","Download","Santana Corazon (Deluxe Version).jpg",1260
176,"Santana","All That I Am","TexMex","CD","Santana_AllThatIam.jpg",1264
177,"Jewel","Sweet And Wild","Country","CD","Jewel_Sweet And Wild.jpg",1716
178,"Jewel","Picking Up The Pieces","Country","download","Jewel_Picking Up The Pieces.jpg",1717
179,"Lonestar","Life As We Know It","Country","CD","LoneStar_Life As We Know It.jpg",1962
180,"Petula Clark","Ultimate Petula Clark","Pop","Download","Ultimate Petula Clark.jpg",1963
181,"Gordon Lightfoot","Summertime Dream","Folk","Download","GordonLightfoot Summertime Dream.jpg",1664
182,"Gordon Lightfoot","Gord's Gold, Vol. 2","Folk","CD","GordonLightfoot_GoldVol2.jpg",1665
183,"Gordon Lightfoot","Gord's Gold","Folk","Vinyl","GordonLightfoot_GordsGold.jpg",1666
184,"Aloe Blacc","Good Things","R&B","CD","Aloe Blacc Good Things.jpg",1693
185,"Aloe Blacc","I Need a Dollar (How to Make It In America) - EP","R&B","Download","Aloe Blacc I Need a Dollar (How to Make It In America) - EP.jpg",1692
186,"Ike and Tina Turner","What You Hear Is What You Get","Rock","Vinyl","TinaTurner_what you hear is what you get.jpg",1964
187,"Ritchie Valens","La Bamba","Rock","Download","La Bamba.jpg",1965
188,"Padraig MacMathuna","Hives Of Honeyed Sound (Blas Na Meala)","Pop","Download","Hives Of Honeyed Sound (Blas Na Meala).jpg",1619
189,"John Prine","John Prine","Folk","CD","John_Prine.jpg",1365
190,"John Prine","For Better, Or Worse","Folk","CD","JohnPrine_For Better, Or Worse.jpg",1366
191,"John Prine","Lost Dogs and Mixed Blessings","Folk","CD","JohnPrine_Lost_Dogs_and_Mixed_Blessings.jpg",1367
192,"John Prine","In Spite of Ourselves","Folk","CD","JohnPrine_In_Spite_of_Ourselves.jpg",1368
193,"Nashville Teens","Love Is The Answer","Rock","Download","Love Is The Answer.jpg",1966
194,"Jackson Browne","Standing In The Breach","Pop","CD","Standing In The Breach.jpg",1967
195,"Jackson Browne","The Very Best Of Jackson Browne [Disc 2]","Pop","Download","The Very Best of Jackson Browne.jpg",1968
196,"Jackson Browne","The Very Best of Jackson Browne [Disc 1]","Pop","Download","The Very Best of Jackson Browne.jpg",1969
197,"John Fogerty","Wrote a Song for Everyone","Rock","Download","Wrote a Song for Everyone.jpg",1970
198,"Miles Davis","Bitches Brew Disc 2","Jazz","Vinyl","MilesDavis_Bitches Brew.jpg",1164
199,"Miles Davis","Kind Of Blue","Jazz","Vinyl","MilesDavis_Milestonescover.jpg",1166
200,"Miles Davis","Classic Ballads","Jazz","Vinyl","Miles DavisClassic Ballads.jpg",1168
201,"Miles Davis","Bitches Brew Disc 1","Jazz","Vinyl","MilesDavis_Bitches Brew.jpg",1165
202,"Miles Davis","Birth of the Cool","Jazz","Vinyl","MilesDavisBirth_0f_Cool.jpg",1169
203,"Miles Davis","Milestones","Jazz","Vinyl","MilesDavis_Milestonescover.jpg",1167
204,"Miles Davis","Filles De Kilimanjaro","Jazz","Vinyl","MilesDavis_Filles De Kilimanjaro.jpg",1170
205,"Eric Clapton & Steve Winwood","Live From Madison Square Garden [Disc 1]","Rock","CD","EricClapton_Live From Madison Square Garden [Disc 1].jpg",1014
206,"Eric Clapton & Steve Winwood","Live From Madison Square Garden [Disc 2]","Rock","CD","EricClapton_Live From Madison Square Garden [Disc 1].jpg",1013
207,"The Overton Berry Trio","Wheedle's Groove_ Seattle's Finest in Funk & Soul 1965-75","Jazz","Download","OvertonBerry_Wheedles.jpg",2145
208,"The Overton Berry Trio","Live at Admiral","Jazz","Download","OvertonBerry_LiveAtadmiral.jpg",2146
209,"The Cars","Move Like This","Rock","CD","TheCars_Move_Like_This_album_cover.jpg",1782
210,"The Cars","Complete Greatest Hits","Rock","Download","TheCars Complete Greatest Hits.jpg",1783
211,"Marvin Gaye","Marvin Gaye's Greatest Hits","R&B","Download","Marvin Gaye's Greatest Hist.jpg",1823
212,"Marvin Gaye","Marvin Gaye_ Gold","R&B","Download","Marvin Gaye_ Gold.jpg",1824
213,"Hot Tuna","Hot Tuna","Blues","Vinyl","HotTuna.jpg",1865
214,"Alvin Lee & Company","Alvin Lee & Company","rock","download","Alvin Lee and Company.jpg",1469
215,"J. J. Cale With Leon Russell","JJ. Cale Featuring Leon Russell - In Session At The Paradise Studios, L.A. 1979","Rock","CD","JJCale_FeaturingLeanRussel.jpeg",1971
216,"Little Richard","The Georgia Peach","Rock","Download","The Georgia Peach.jpg",1972
217,"The Electric Prunes","I Had Too Much to Dream","Rock","Download","ElectricPrunes I Had Too Much to Dream.jpg",1635
218,"Desmond Dekker","Desmond Dekker_ Israelites - The Best of Desmond Dekker","Reggae","Download","Desmond Dekker.jpg",1894
219,"Foy Willing & The Riders Of The Purple Sage","Tumbling Tumbleweeds (10 Timeless Western Songs)","Country","Download","Tumbling Tumbleweeds (10 Timeless Western Songs).jpg",1725
220,"Foy Willing & The Riders Of The Purple Sage","Cool Cool Water","Country","Download","Cool Cool Water.jpg",1726
221,"Earth, Wind & Fire","Earth, Wind & Fire_ Greatest Hits","Rock","download","EarthWind&Fire_GreatestHists.jpg",1973
222,"The Marshall Tucker Band","The Marshall Tucker Band_ Live On Long Island - 4-18-80","Rock","Download","The Marshall Tucker Band_ Live On Long Island - 4-18-80.jpg",1248
223,"The Marshall Tucker Band","Running With The Wind","Rock","Download","MarshallTucker Running With The Wind.jpg",1247
224,"The Marshall Tucker Band","Long Hard Ride","Rock","Download","MarshallTucker Long Hard Ride.jpg",1246
225,"The Marshall Tucker Band","A New Life","Rock","CD","MarshallTucker A New Life.jpg",1245
226,"The Marshall Tucker Band","Carolina Dreams","Rock","CD","MarshalTucker_CarolinaDreams.jpg",1243
227,"The Marshall Tucker Band","Where We All Belong","Rock","CD","MarshalTucker_whereWeAllBelong.jpg",1244
228,"Elton John","The Big Picture","Pop","CD","EltonJohn_The Big Picture.jpg",1180
229,"Elton John","The One","Pop","CD","The One.jpg",1182
230,"Elton John","The Captain & The Kid","Pop","Download","EltonJohn_CaptainAndKid.jpg",1183
231,"Elton John","Goodbye Yellow Brick Road","Pop","CD","EltonJohn_YellowBrickRoad.jpg",1185
232,"Elton John","Elton John_ Greatest Hits","Pop","Download","Elton John_ The Greatest Hits 1970-2002.jpg",1184
233,"Elton John","Elton John_ The Greatest Hits 1970-2002","Pop","Download","Elton John_ The Greatest Hits 1970-2002.jpg",1186
234,"Elton John","Don't Shoot Me I'm Only the Piano Player","Pop","CD","EltonJohn_Don't Shoot Me I'm Only the Piano Player.jpg",1187
235,"The Temptations","Number 1's","R&B","CD","Temptations_Number1s.jpeg",1974
236,"Gary Burton, Steve Swallow, Roy Haynes, Tiger Okoshi","Times Square","Jazz","Download","Time Square.jpg",1975
237,"Telekinesis","12 Desperate Straight Lines","Pop","Download","12 Desperate Straight Lines.jpg",1976
238,"Styx","Equinox","Rock","CD","Styx_equinox.jpg",1327
239,"Styx","Come Sail Away - The Styx Anthology","Rock","Download","Styx_Come Sail Away - The Styx Anthology.jpg",1331
240,"Styx","Cornerstone","Rock","CD","Styx-Cornerstone.jpg",1328
241,"Styx","Gold","Rock","Download","Styx_Gold.jpg",1330
242,"Styx","Styx_ Greatest Hits","Rock","Download","Styx_ Greatest Hits.jpg",1329
243,"Miguel Zeno'n","Típico","rock","download","Típico.jpg",1977
244,"Robert Plant","Angel Dance - Single","Rock","Download","Angel Dance - Single.jpg",1978
245,"Nat _King_ Cole","The Christmas Song","Pop","Download","The Christmas Song.jpg",1979
246,"Tchaikovsky","Nutcracker Suite","Classical","Vinyl","Nutcracker Suite.jpg",1980
247,"Herb Alpert & The Tijuana Brass","The Lonely Bull","rock","download","HerbAlbert_LonelyBull.jpg",1924
248,"Eric Clapton & B.B. King","Riding With The King","Blues","CD","EricClapton_RidingWithTheKing.jpg",1012
249,"Blondie","Eat To The Beat","Pop","CD","Blondie Eat The Beat.jpg",1590
250,"Blondie","The Best Of Blondie","Pop","Download","Blondie The_Best_of_Blondie.png",1592
251,"Blondie","The Complete Picture","Pop","Download","Blondie The Complete Picture.jpg",1591
252,"Chris Robinson Brotherhood","Any Way You Love, We Know How You Feel","Rock","CD","ChrisRobinson Any Way You Love, We Know How You Feel.jpg",1796
253,"Chris Robinson Brotherhood","If You Lived Here, You Would Be Home By Now [EP]","Rock","CD","ChrisRobinson If You Lived Here, You Would Be Home By Now [EP].jpg",1795
254,"Motley Crue","Shout At The Devil [Bonus Tracks]","Metal","CD","MotleyCrue_ShoutattheDevil.jpg",1622
255,"Little Dragon","Ritual Union","Rock","Download","LittleDragon Ritual Union.jpg",1877
256,"Stanley Kubrick","2001 A Space Odyssey","Soundtrack","download","2001 A Space Odyssey (soundtrack).jpg",1981
257,"Buffalo Springfield","Retrospective_ The Best of Buffalo Springfield","Rock","CD","Retrospective_ The Best of Buffalo Springfield.jpg",1982
258,"Ten Years After","Stonedhenge (Re-Presents)","Blues","Download","Ten Years After Stonehenge.jpeg",1466
259,"Ten Years After","Recorded Live","Blues","Download","Ten Years After Recorded Live.jpeg",1467
